component,label,raw_score,baseline_iq,pool_n,below,equal,above,full_pool_percentile,full_pool_percentile_iq,group_size,effective_group_size,sampling,simulated_draws,exact_mean,exact_sd,exact_p025,exact_p975,exact_prob_more_than_5_points,exact_prob_more_than_10_points,empirical_mean,empirical_sd,empirical_p025,empirical_p975,empirical_prob_more_than_5_points,empirical_prob_more_than_10_points,maximum_empirical_cdf_error
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,45,45,without_replacement,1000000,100.96540579004278,1.3977853234035797,98,104,5.306669063874724e-05,0.0,100.963083,1.39813165871852,98,104,5.4000000000000005e-05,0.0,0.0007271146064076195
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,50,50,with_replacement,1000000,101.03627251333874,2.6034961356930997,96,106,0.03677055229863541,0.00010909937338892506,101.036538,2.605093659459483,96,106,0.036827,0.00011499999999999999,0.00034467372705904165
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,50,50,without_replacement,1000000,100.98652384792535,1.0616340901880157,99,103,0.0,0.0,100.98610299999999,1.062091273568802,99,103,0.0,0.0,0.0009332484900997917
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,55,55,with_replacement,1000000,101.04606944766053,2.530765472592248,96,106,0.027474316772925503,4.1288178007866126e-05,101.04683,2.5271689597452722,96,106,0.027255,3.3e-05,0.0012665514259138644
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,55,55,without_replacement,1000000,101.10747518269666,0.8174476929801013,99,102,0.0,0.0,101.10718399999999,0.8177698882595275,99,102,0.0,0.0,0.00024338447814451283
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,60,60,with_replacement,1000000,101.03337543741719,2.4145569219642753,96,106,0.02060430711400099,1.941120544544219e-05,101.03121999999999,2.4145631720044105,96,106,0.020632,1.8e-05,0.0004811522029357085
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,60,60,without_replacement,1000000,101.0,0.0,101,101,0.0,0.0,101.0,0.0,101,101,0.0,0.0,0.0
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,75,75,with_replacement,1000000,101.07018552751933,2.097263231678283,97,105,0.008845148156499297,2.0481705148820164e-06,101.072071,2.0979701549257084,97,105,0.008831,2e-06,0.0009022685864121804
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,75,60,without_replacement,1000000,101.0,0.0,101,101,0.0,0.0,101.0,0.0,101,101,0.0,0.0,0.0
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,100,100,with_replacement,1000000,100.99407626691686,1.8477164370411578,97,105,0.002593907559834948,5.0072425751548485e-08,100.992269,1.849217464669583,97,105,0.002706,0.0,0.0004710879900697851
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,100,60,without_replacement,1000000,101.0,0.0,101,101,0.0,0.0,101.0,0.0,101,101,0.0,0.0,0.0
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,15,15,with_replacement,1000000,101.11241483344983,4.81277249050468,92,111,0.2689704923777588,0.023396111282676765,101.10943900000001,4.818855476695582,92,111,0.269876,0.023418,0.0008873889989232109
numerical,Numerical reasoning,9,101,105,52,14,39,56.19047619047619,102.33700369995826,15,15,without_replacement,1000000,101.09062037314978,4.447540409921355,92,110,0.23340126430230115,0.014750822278079112,101.09002000000001,4.445579197315014,92,110,0.232684,0.014709,0.0004281364251411818
